locus_tag	ftype	length_bp	gene	EC_number	COG	product
LMAHELFL_00140	CDS	309	yaiY			Inner membrane protein YaiY
LMAHELFL_00141	CDS	216				hypothetical protein
LMAHELFL_00142	CDS	1113	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
LMAHELFL_00143	CDS	684				hypothetical protein
LMAHELFL_00144	CDS	1212	sbnD_1			Staphyloferrin B transporter
LMAHELFL_00145	CDS	261	iraP			Anti-adapter protein IraP
LMAHELFL_00146	CDS	321	psiF			Phosphate starvation-inducible protein PsiF
LMAHELFL_00147	CDS	1113	dgcC	2.7.7.65		putative diguanylate cyclase DgcC
LMAHELFL_00148	CDS	810	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
LMAHELFL_00149	CDS	456				hypothetical protein
LMAHELFL_00150	CDS	546	aroL	2.7.1.71	COG0703	Shikimate kinase 2
LMAHELFL_00151	CDS	192	yaiA			putative protein YaiA
LMAHELFL_00152	CDS	678				hypothetical protein
LMAHELFL_00153	CDS	285	ppnP	2.4.2.1	COG3123	Pyrimidine/purine nucleoside phosphorylase
LMAHELFL_00154	CDS	912	rdgC		COG2974	Recombination-associated protein RdgC
LMAHELFL_00155	CDS	909	mak	2.7.1.4	COG1940	Fructokinase
LMAHELFL_00156	CDS	1173	araJ		COG2814	Putative transporter AraJ
LMAHELFL_00157	CDS	3141	sbcC		COG0419	Nuclease SbcCD subunit C
LMAHELFL_00158	CDS	1203	sbcD		COG0420	Nuclease SbcCD subunit D
LMAHELFL_00159	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
LMAHELFL_00160	CDS	1296	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
LMAHELFL_00161	CDS	1320	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
LMAHELFL_00162	CDS	1371	proY		COG1113	Proline-specific permease ProY
LMAHELFL_00163	CDS	1818	malZ	3.2.1.20	COG0366	Maltodextrin glucosidase
LMAHELFL_00164	CDS	603	ahpC_1	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
LMAHELFL_00165	CDS	582	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
LMAHELFL_00166	CDS	1065	queA_1	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
LMAHELFL_00167	CDS	1128	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
LMAHELFL_00168	CDS	333	yajC		COG1862	Sec translocon accessory complex subunit YajC
LMAHELFL_00169	CDS	1815	secD		COG0342	Protein translocase subunit SecD
LMAHELFL_00170	CDS	972	secF		COG0341	Protein translocase subunit SecF
LMAHELFL_00171	CDS	366				hypothetical protein
LMAHELFL_00172	CDS	693				hypothetical protein
LMAHELFL_00173	CDS	348				hypothetical protein
LMAHELFL_00174	CDS	108	ldrA			Small toxic polypeptide LdrA
LMAHELFL_00175	CDS	864	tsx		COG3248	Nucleoside-specific channel-forming protein Tsx
LMAHELFL_00176	CDS	540	yajI			putative lipoprotein YajI
LMAHELFL_00177	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
LMAHELFL_00178	CDS	1104	ribD		COG0117	Riboflavin biosynthesis protein RibD
LMAHELFL_00179	CDS	471	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
LMAHELFL_00180	CDS	420	nusB		COG0781	Transcription antitermination protein NusB
LMAHELFL_00181	CDS	981	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
LMAHELFL_00182	CDS	516	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
LMAHELFL_00183	CDS	816	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
LMAHELFL_00184	CDS	1863	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
LMAHELFL_00185	CDS	900	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
LMAHELFL_00186	CDS	243	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
LMAHELFL_00187	CDS	1449	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
LMAHELFL_00188	CDS	798	phnV		COG1177	Putative 2-aminoethylphosphonate transport system permease protein PhnV
LMAHELFL_00189	CDS	870	phnU		COG0555	Putative 2-aminoethylphosphonate transport system permease protein PhnU
LMAHELFL_00190	CDS	1110	phnT		COG3842	Putative 2-aminoethylphosphonate import ATP-binding protein PhnT
LMAHELFL_00191	CDS	1014	phnS		COG1840	Putative 2-aminoethylphosphonate-binding periplasmic protein
LMAHELFL_00192	CDS	720	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
LMAHELFL_00193	CDS	1104	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
LMAHELFL_00194	CDS	810	phnX	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
LMAHELFL_00195	CDS	591	yajL_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
LMAHELFL_00196	CDS	912	panE_1	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
LMAHELFL_00197	CDS	492				hypothetical protein
LMAHELFL_00198	CDS	1365	yajR		COG0477	Inner membrane transport protein YajR
LMAHELFL_00199	CDS	1512				hypothetical protein
LMAHELFL_00200	CDS	1494				hypothetical protein
LMAHELFL_00201	CDS	891	cyoE	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
LMAHELFL_00202	CDS	330	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
LMAHELFL_00203	CDS	615	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
LMAHELFL_00204	CDS	1992	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
LMAHELFL_00205	CDS	957	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
LMAHELFL_00206	CDS	1482	ampG		COG0477	Anhydromuropeptide permease
LMAHELFL_00207	CDS	633				hypothetical protein
LMAHELFL_00208	CDS	315	bolA		COG0271	DNA-binding transcriptional regulator BolA
LMAHELFL_00209	CDS	1299	tig	5.2.1.8	COG0544	Trigger factor
LMAHELFL_00210	CDS	624	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
LMAHELFL_00211	CDS	1272	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
LMAHELFL_00212	CDS	2355	lon_1	3.4.21.53	COG0466	Lon protease
LMAHELFL_00213	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
LMAHELFL_00214	CDS	1872	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
LMAHELFL_00215	CDS	375			COG1555	putative protein
LMAHELFL_00216	CDS	399	fadM	3.1.2.-	COG0824	Long-chain acyl-CoA thioesterase FadM
LMAHELFL_00217	CDS	696	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
LMAHELFL_00218	CDS	1701	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
LMAHELFL_00219	CDS	819	cof	3.6.1.-	COG0561	HMP-PP phosphatase
LMAHELFL_00220	CDS	1056	sbnA	2.5.1.140		N-(2-amino-2-carboxyethyl)-L-glutamate synthase
LMAHELFL_00221	CDS	459	decR		COG1522	DNA-binding transcriptional activator DecR
LMAHELFL_00222	CDS	1773	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
LMAHELFL_00223	CDS	1782	mdlB	7.6.2.2	COG1132	Multidrug resistance-like ATP-binding protein MdlB
LMAHELFL_00224	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
LMAHELFL_00225	CDS	1287	amtB			Ammonia channel
LMAHELFL_00226	CDS	861	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
LMAHELFL_00227	CDS	570	ybaY		COG3126	putative lipoprotein YbaY
LMAHELFL_00228	CDS	312	atl		COG3695	DNA base-flipping protein
LMAHELFL_00229	CDS	1551	pdeB	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
LMAHELFL_00230	CDS	261	rpmE2		COG0254	50S ribosomal protein L31 type B
LMAHELFL_00231	CDS	471	ylaC			Inner membrane protein YlaC
LMAHELFL_00232	CDS	552	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
LMAHELFL_00233	CDS	219	hha_1			Hemolysin expression-modulating protein Hha
LMAHELFL_00234	CDS	375	tomB			Hha toxicity modulator TomB
LMAHELFL_00235	CDS	3150	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
LMAHELFL_00236	CDS	1194	acrA			Multidrug efflux pump subunit AcrA
LMAHELFL_00237	CDS	654	acrR_1		COG1309	HTH-type transcriptional regulator AcrR
LMAHELFL_00238	CDS	3363	mscK		COG3264	Mechanosensitive channel MscK
LMAHELFL_00239	CDS	924				ISNCY family transposase ISRor2
LMAHELFL_00240	CDS	168				hypothetical protein
LMAHELFL_00241	CDS	516	priC		COG3923	Primosomal replication protein N''
LMAHELFL_00242	CDS	378	ybaN		COG2832	Inner membrane protein YbaN
LMAHELFL_00243	CDS	552	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
LMAHELFL_00244	CDS	1929	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
LMAHELFL_00245	CDS	330	ybaB		COG0718	Nucleoid-associated protein YbaB
LMAHELFL_00246	CDS	606	recR		COG0353	Recombination protein RecR
LMAHELFL_00247	CDS	1875	htpG		COG0326	Chaperone protein HtpG
LMAHELFL_00248	CDS	645	adk	2.7.4.3	COG0563	Adenylate kinase
LMAHELFL_00249	CDS	963	hemH	4.99.1.1	COG0276	Ferrochelatase
LMAHELFL_00250	CDS	972	aes	3.1.1.-	COG0657	Acetyl esterase
LMAHELFL_00251	CDS	1350	gsk	2.7.1.73	COG0524	Inosine-guanosine kinase
LMAHELFL_00252	CDS	1677	ybaL		COG1226	Putative cation/proton antiporter YbaL
LMAHELFL_00253	CDS	126				hypothetical protein
LMAHELFL_00254	CDS	1221	fsr			Fosmidomycin resistance protein
LMAHELFL_00255	CDS	1653	ushA		COG0737	Protein UshA
LMAHELFL_00256	CDS	480	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
LMAHELFL_00257	CDS	795				hypothetical protein
LMAHELFL_00258	CDS	828				hypothetical protein
LMAHELFL_00259	CDS	2502	copA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
LMAHELFL_00260	CDS	417	cueR		COG0789	HTH-type transcriptional regulator CueR
LMAHELFL_00261	CDS	453	ybbJ		COG1585	Inner membrane protein YbbJ
LMAHELFL_00262	CDS	918	qmcA		COG0330	Protein QmcA
LMAHELFL_00263	CDS	678	fetA	3.6.3.-	COG4619	putative iron export ATP-binding protein FetA
LMAHELFL_00264	CDS	780	fetB		COG0390	putative iron export permease protein FetB
LMAHELFL_00265	CDS	855	cnoX		COG3118	Chaperedoxin
LMAHELFL_00266	CDS	771				hypothetical protein
LMAHELFL_00267	CDS	585	tesA	3.1.2.2	COG2755	Thioesterase 1/protease 1/lysophospholipase L1
LMAHELFL_00268	CDS	687	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
LMAHELFL_00269	CDS	2415				hypothetical protein
LMAHELFL_00270	CDS	105				hypothetical protein
LMAHELFL_00271	CDS	1134				hypothetical protein
LMAHELFL_00272	CDS	831	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
LMAHELFL_00273	CDS	1017	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
LMAHELFL_00274	CDS	660	metP		COG2011	Methionine import system permease protein MetP
LMAHELFL_00275	CDS	1095	selU	2.5.1.-	COG2603	tRNA 2-selenouridine synthase
LMAHELFL_00276	CDS	927	allS_1			HTH-type transcriptional activator AllS
LMAHELFL_00277	CDS	483	allA	4.3.2.3	COG3194	Ureidoglycolate lyase
LMAHELFL_00278	CDS	819	allR		COG1414	HTH-type transcriptional repressor AllR
LMAHELFL_00279	CDS	1782	gcl	4.1.1.47	COG3960	Glyoxylate carboligase
LMAHELFL_00280	CDS	777	hyi	5.3.1.22	COG3622	Hydroxypyruvate isomerase
LMAHELFL_00281	CDS	879	glxR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
LMAHELFL_00282	CDS	1248	sauU_1			putative sulfoacetate transporter SauU
LMAHELFL_00283	CDS	1455	ybbW		COG1953	Putative allantoin permease
LMAHELFL_00284	CDS	1362	allB	3.5.2.5	COG0044	Allantoinase
LMAHELFL_00285	CDS	1299	ybbY		COG2233	Putative purine permease YbbY
LMAHELFL_00286	CDS	1149	glxK	2.7.1.31	COG1929	Glycerate 3-kinase
LMAHELFL_00287	CDS	786	allE	3.5.3.26	COG3257	(S)-ureidoglycine aminohydrolase
LMAHELFL_00288	CDS	1236	allC	3.5.3.9	COG0624	Allantoate amidohydrolase
LMAHELFL_00289	CDS	1050	allD	1.1.1.350	COG2055	Ureidoglycolate dehydrogenase (NAD(+))
LMAHELFL_00290	CDS	1665	fdrA		COG0074	Protein FdrA
LMAHELFL_00291	CDS	1260				hypothetical protein
LMAHELFL_00292	CDS	810				hypothetical protein
LMAHELFL_00293	CDS	894	arcC2	2.7.2.2		Carbamate kinase 2
LMAHELFL_00294	CDS	1068	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
LMAHELFL_00295	CDS	510	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
LMAHELFL_00296	CDS	723	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
LMAHELFL_00297	CDS	495	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
LMAHELFL_00298	CDS	1386	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
LMAHELFL_00299	CDS	825				hypothetical protein
LMAHELFL_00300	CDS	438				hypothetical protein
LMAHELFL_00301	CDS	546	ybcI		COG1988	Inner membrane protein YbcI
LMAHELFL_00302	CDS	213	ybcJ		COG2501	putative protein YbcJ
LMAHELFL_00303	CDS	867	folD		COG0190	Bifunctional protein FolD protein
LMAHELFL_00304	CDS	558	fimA_1			Type-1 fimbrial protein, A chain
LMAHELFL_00305	CDS	534	fimA_2			Type-1 fimbrial protein, A chain
LMAHELFL_00306	CDS	693	sfmC_1			putative fimbrial chaperone SfmC
LMAHELFL_00307	CDS	2613	sfmD		COG3188	Outer membrane usher protein SfmD
LMAHELFL_00308	CDS	1008	sfmH_1			putative fimbrial-like protein SfmH
LMAHELFL_00309	CDS	519	sfmF			putative fimbrial-like protein SfmF
LMAHELFL_00310	CDS	633	bvgA			Virulence factors putative positive transcription regulator BvgA
LMAHELFL_00311	CDS	723				hypothetical protein
LMAHELFL_00312	CDS	597				hypothetical protein
LMAHELFL_00313	tRNA	77				tRNA-Arg(tct)
LMAHELFL_00314	CDS	1812				hypothetical protein
LMAHELFL_00315	CDS	921	yfdH_1	2.4.1.-	COG0463	Prophage bactoprenol glucosyl transferase 
LMAHELFL_00316	CDS	363	yfdG		COG2246	Prophage bactoprenol-linked glucose translocase 
LMAHELFL_00317	CDS	330	cusS	2.7.13.3	COG0642	Sensor histidine kinase CusS
LMAHELFL_00318	CDS	855	rclR		COG2207	RCS-specific HTH-type transcriptional activator RclR
LMAHELFL_00319	CDS	1326	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
LMAHELFL_00320	CDS	237	rclB			putative protein RclB
LMAHELFL_00321	CDS	561	rclC		COG3059	Inner membrane protein RclC
LMAHELFL_00322	CDS	1176				hypothetical protein
LMAHELFL_00323	CDS	1395	pheP		COG1113	Phenylalanine-specific permease
LMAHELFL_00324	CDS	1248	ybdG		COG0668	Miniconductance mechanosensitive channel YbdG
LMAHELFL_00325	CDS	1971	lip-1	3.1.1.3		Lipase 1
LMAHELFL_00326	CDS	654	nfsB	1.-.-.-	COG0778	Oxygen-insensitive NAD(P)H nitroreductase
LMAHELFL_00327	CDS	369				hypothetical protein
LMAHELFL_00328	CDS	582	betI_1			HTH-type transcriptional regulator BetI
LMAHELFL_00329	CDS	342	marA_1			Multiple antibiotic resistance protein MarA
LMAHELFL_00330	CDS	249				hypothetical protein
LMAHELFL_00331	CDS	1119	ybdK	6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
LMAHELFL_00332	CDS	705				hypothetical protein
LMAHELFL_00333	CDS	2256	fepA		COG4771	Ferrienterobactin receptor
LMAHELFL_00334	CDS	1215	fes_1		COG2382	Enterochelin esterase
LMAHELFL_00335	CDS	219	ybdZ		COG3251	Enterobactin biosynthesis protein YbdZ
LMAHELFL_00336	CDS	3885	entF	2.7.7.-	COG1020	Enterobactin synthase component F
LMAHELFL_00337	CDS	1137	fepE		COG3765	Ferric enterobactin transport protein FepE
LMAHELFL_00338	CDS	795	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
LMAHELFL_00339	CDS	990	fepG		COG4779	Ferric enterobactin transport system permease protein FepG
LMAHELFL_00340	CDS	1008	fepD		COG0609	Ferric enterobactin transport system permease protein FepD
LMAHELFL_00341	CDS	1245	entS		COG0477	Enterobactin exporter EntS
LMAHELFL_00342	CDS	957	fepB		COG4592	Ferrienterobactin-binding periplasmic protein
LMAHELFL_00343	CDS	1176	entC	5.4.4.2	COG1169	Isochorismate synthase EntC
LMAHELFL_00344	CDS	1611	entE	6.3.2.14	COG1021	Enterobactin synthase component E
LMAHELFL_00345	CDS	858	entB	6.3.2.14	COG1535	Enterobactin synthase component B
LMAHELFL_00346	CDS	756	entA	1.3.1.28	COG1028	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
LMAHELFL_00347	CDS	414	entH	3.1.2.-	COG2050	Proofreading thioesterase EntH
LMAHELFL_00348	CDS	2106	cstA		COG1966	Peptide transporter CstA
LMAHELFL_00349	CDS	198				hypothetical protein
